,a,b,c,d
0,1-900 (1994),2.6,1-900 (1994),5.0
1,101 Dalmatians (1996),2.9082568807339446,101 Dalmatians (1996),109.0
2,12 Angry Men (1957),4.343999999999999,12 Angry Men (1957),125.0
3,187 (1997),3.024390243902439,187 (1997),41.0
4,2 Days in the Valley (1996),3.2258064516129035,2 Days in the Valley (1996),93.0
5,"20,000 Leagues Under the Sea (1954)",3.5,"20,000 Leagues Under the Sea (1954)",72.0
6,2001: A Space Odyssey (1968),3.9691119691119687,2001: A Space Odyssey (1968),259.0
7,3 Ninjas: High Noon At Mega Mountain (1998),1.0,3 Ninjas: High Noon At Mega Mountain (1998),5.0
8,"39 Steps, The (1935)",4.050847457627119,"39 Steps, The (1935)",59.0
9,8 1/2 (1963),3.8157894736842106,8 1/2 (1963),38.0
10,8 Heads in a Duffel Bag (1997),3.25,8 Heads in a Duffel Bag (1997),4.0
11,8 Seconds (1994),3.75,8 Seconds (1994),4.0
12,A Chef in Love (1996),4.125,A Chef in Love (1996),8.0
13,Above the Rim (1994),3.0,Above the Rim (1994),5.0
14,Absolute Power (1997),3.37007874015748,Absolute Power (1997),127.0
15,"Abyss, The (1989)",3.5894039735099335,"Abyss, The (1989)",151.0
16,Ace Ventura: Pet Detective (1994),3.0485436893203883,Ace Ventura: Pet Detective (1994),103.0
17,Ace Ventura: When Nature Calls (1995),2.675675675675676,Ace Ventura: When Nature Calls (1995),37.0
18,Across the Sea of Time (1995),2.75,Across the Sea of Time (1995),4.0
19,Addams Family Values (1993),2.8160919540229883,Addams Family Values (1993),87.0
20,Addicted to Love (1997),3.1666666666666665,Addicted to Love (1997),54.0
21,"Addiction, The (1995)",2.1818181818181817,"Addiction, The (1995)",11.0
22,"Adventures of Pinocchio, The (1996)",3.051282051282051,"Adventures of Pinocchio, The (1996)",39.0
23,"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947,"Adventures of Priscilla, Queen of the Desert, The (1994)",111.0
