,'Til There Was You (1997),9.0
0,1-900 (1994),5.0
1,101 Dalmatians (1996),109.0
2,12 Angry Men (1957),125.0
3,187 (1997),41.0
4,2 Days in the Valley (1996),93.0
5,"20,000 Leagues Under the Sea (1954)",72.0
6,2001: A Space Odyssey (1968),259.0
7,3 Ninjas: High Noon At Mega Mountain (1998),5.0
8,"39 Steps, The (1935)",59.0
9,8 1/2 (1963),38.0
10,8 Heads in a Duffel Bag (1997),4.0
11,8 Seconds (1994),4.0
12,A Chef in Love (1996),8.0
13,Above the Rim (1994),5.0
14,Absolute Power (1997),127.0
15,"Abyss, The (1989)",151.0
16,Ace Ventura: Pet Detective (1994),103.0
17,Ace Ventura: When Nature Calls (1995),37.0
18,Across the Sea of Time (1995),4.0
19,Addams Family Values (1993),87.0
20,Addicted to Love (1997),54.0
21,"Addiction, The (1995)",11.0
22,"Adventures of Pinocchio, The (1996)",39.0
23,"Adventures of Priscilla, Queen of the Desert, The (1994)",111.0
24,"Adventures of Robin Hood, The (1938)",67.0
25,"Affair to Remember, An (1957)",26.0
26,"African Queen, The (1951)",152.0
27,Afterglow (1997),18.0
28,"Age of Innocence, The (1993)",65.0
29,Aiqing wansui (1994),1.0
30,Air Bud (1997),43.0
31,Air Force One (1997),431.0
32,"Air Up There, The (1994)",16.0
33,Airheads (1994),32.0
34,Akira (1988),50.0
35,Aladdin (1992),219.0
36,Aladdin and the King of Thieves (1996),26.0
37,Alaska (1996),13.0
38,Albino Alligator (1996),6.0
39,Alice in Wonderland (1951),81.0
40,Alien (1979),291.0
41,Alien 3 (1992),100.0
42,Alien: Resurrection (1997),124.0
43,Aliens (1986),284.0
44,All About Eve (1950),66.0
45,All Dogs Go to Heaven 2 (1996),15.0
46,All Over Me (1997),3.0
47,All Things Fair (1996),1.0
48,Alphaville (1965),12.0
49,Amadeus (1984),276.0
50,Amateur (1994),18.0
51,"Amazing Panda Adventure, The (1995)",10.0
52,American Buffalo (1996),11.0
53,American Dream (1990),2.0
54,"American President, The (1995)",164.0
55,American Strays (1996),2.0
56,"American Werewolf in London, An (1981)",99.0
57,"American in Paris, An (1951)",50.0
58,Amistad (1997),124.0
59,Amityville 1992: It's About Time (1992),5.0
60,Amityville 3-D (1983),6.0
61,"Amityville Curse, The (1990)",4.0
62,"Amityville Horror, The (1979)",53.0
63,Amityville II: The Possession (1982),14.0
64,Amityville: A New Generation (1993),5.0
65,Amityville: Dollhouse (1996),3.0
66,Amos & Andrew (1993),19.0
67,An Unforgettable Summer (1994),4.0
68,Anaconda (1997),38.0
69,Anastasia (1997),66.0
70,Andre (1994),18.0
71,Angel Baby (1995),4.0
72,Angel and the Badman (1947),6.0
73,Angel on My Shoulder (1946),1.0
74,Angela (1995),1.0
75,Angels and Insects (1995),72.0
76,Angels in the Outfield (1994),39.0
77,Angus (1995),14.0
78,Anna (1996),2.0
79,Anna Karenina (1997),33.0
80,Anne Frank Remembered (1995),21.0
81,Annie Hall (1977),180.0
82,Another Stakeout (1993),28.0
83,Antonia's Line (1995),69.0
84,Aparajito (1956),7.0
85,"Apartment, The (1960)",63.0
86,Apocalypse Now (1979),221.0
87,Apollo 13 (1995),276.0
88,"Apostle, The (1997)",55.0
89,"Apple Dumpling Gang, The (1975)",25.0
90,April Fool's Day (1986),15.0
91,Apt Pupil (1998),160.0
92,"Aristocats, The (1970)",54.0
93,Army of Darkness (1993),116.0
94,Around the World in 80 Days (1956),59.0
95,"Arrival, The (1996)",83.0
96,Arsenic and Old Lace (1944),115.0
97,As Good As It Gets (1997),112.0
98,Assassins (1995),39.0
99,"Assignment, The (1997)",18.0
100,"Associate, The (1996)",41.0
101,Audrey Rose (1977),12.0
102,August (1996),1.0
103,Austin Powers: International Man of Mystery (1997),130.0
104,"Awfully Big Adventure, An (1995)",8.0
105,Ayn Rand: A Sense of Life (1997),7.0
106,B*A*P*S (1997),3.0
107,B. Monkey (1998),1.0
108,Babe (1995),219.0
109,"Baby-Sitters Club, The (1995)",10.0
110,Babyfever (1994),2.0
111,"Babysitter, The (1995)",3.0
112,Back to the Future (1985),350.0
113,Backbeat (1993),19.0
114,Bad Boys (1995),57.0
115,Bad Company (1995),9.0
116,Bad Girls (1994),6.0
117,Bad Moon (1996),6.0
118,Bad Taste (1987),16.0
119,"Ballad of Narayama, The (Narayama Bushiko) (1958)",4.0
120,Balto (1995),16.0
121,Bananas (1971),57.0
122,"Band Wagon, The (1953)",9.0
123,Barb Wire (1996),30.0
124,Barbarella (1968),28.0
125,Barcelona (1994),53.0
126,Basic Instinct (1992),101.0
127,"Basketball Diaries, The (1995)",40.0
128,Basquiat (1996),44.0
129,Bastard Out of Carolina (1996),16.0
130,Batman & Robin (1997),62.0
131,Batman (1989),201.0
132,Batman Forever (1995),114.0
133,Batman Returns (1992),142.0
134,Baton Rouge (1988),1.0
135,Bean (1997),91.0
136,"Beans of Egypt, Maine, The (1994)",2.0
137,Beat the Devil (1954),7.0
138,"Beautician and the Beast, The (1997)",86.0
139,Beautiful Girls (1996),115.0
140,Beautiful Thing (1996),29.0
141,Beauty and the Beast (1991),202.0
142,Beavis and Butt-head Do America (1996),156.0
143,Bed of Roses (1996),60.0
144,Bedknobs and Broomsticks (1971),57.0
145,Before Sunrise (1995),49.0
146,Before and After (1996),26.0
147,Before the Rain (Pred dozhdot) (1994),10.0
148,Being Human (1993),4.0
149,Being There (1979),116.0
150,"Believers, The (1987)",16.0
151,Belle de jour (1967),37.0
152,Ben-Hur (1959),124.0
153,Benny & Joon (1993),102.0
154,Bent (1997),6.0
155,Best Men (1997),5.0
156,Best of the Best 3: No Turning Back (1995),6.0
157,Better Off Dead... (1985),79.0
158,"Beverly Hillbillies, The (1993)",20.0
159,Beverly Hills Cop III (1994),28.0
160,Beverly Hills Ninja (1997),48.0
161,"Bewegte Mann, Der (1994)",3.0
162,Beyond Bedlam (1993),2.0
163,Beyond Rangoon (1995),18.0
164,Bhaji on the Beach (1993),8.0
165,"Big Bang Theory, The (1994)",1.0
166,"Big Blue, The (Grand bleu, Le) (1988)",17.0
167,Big Bully (1996),14.0
168,"Big Green, The (1995)",14.0
169,"Big Lebowski, The (1998)",42.0
170,Big Night (1996),171.0
171,"Big One, The (1997)",1.0
172,"Big Sleep, The (1946)",73.0
173,"Big Squeeze, The (1996)",4.0
174,Billy Madison (1995),37.0
175,Bio-Dome (1996),31.0
176,Bird of Prey (1996),1.0
177,"Birdcage, The (1996)",293.0
178,"Birds, The (1963)",162.0
179,Bitter Moon (1992),10.0
180,Bitter Sugar (Azucar Amargo) (1996),3.0
181,Black Beauty (1994),27.0
182,Black Sheep (1996),55.0
183,Blade Runner (1982),275.0
184,Blink (1994),19.0
185,Bliss (1997),7.0
186,"Blob, The (1958)",46.0
187,Blood & Wine (1997),22.0
188,Blood Beach (1981),6.0
189,Blood For Dracula (Andy Warhol's Dracula) (1974),5.0
190,Bloodsport 2 (1995),10.0
191,"Bloody Child, The (1996)",1.0
192,Blown Away (1994),29.0
193,"Blue Angel, The (Blaue Engel, Der) (1930)",18.0
194,Blue Chips (1994),9.0
195,Blue Sky (1994),12.0
196,Blue in the Face (1995),45.0
197,Blues Brothers 2000 (1998),28.0
198,"Blues Brothers, The (1980)",251.0
199,Bob Roberts (1992),85.0
200,Body Parts (1991),13.0
201,"Body Snatcher, The (1945)",22.0
202,Body Snatchers (1993),69.0
203,Bogus (1996),22.0
204,"Bonheur, Le (1965)",4.0
205,Bonnie and Clyde (1967),122.0
206,Boogie Nights (1997),189.0
207,Boomerang (1992),32.0
208,"Boot, Das (1981)",201.0
209,Booty Call (1997),48.0
210,Bottle Rocket (1996),44.0
