,title,mean,count
0,'Til There Was You (1997),2.3333333333333335,9.0
1,1-900 (1994),2.6,5.0
2,101 Dalmatians (1996),2.908256880733945,109.0
3,12 Angry Men (1957),4.344,125.0
4,187 (1997),3.024390243902439,41.0
5,2 Days in the Valley (1996),3.225806451612903,93.0
6,"20,000 Leagues Under the Sea (1954)",3.5,72.0
7,2001: A Space Odyssey (1968),3.969111969111969,259.0
8,3 Ninjas: High Noon At Mega Mountain (1998),1.0,5.0
9,"39 Steps, The (1935)",4.0508474576271185,59.0
10,8 1/2 (1963),3.8157894736842106,38.0
11,8 Heads in a Duffel Bag (1997),3.25,4.0
12,8 Seconds (1994),3.75,4.0
13,A Chef in Love (1996),4.125,8.0
14,Above the Rim (1994),3.0,5.0
15,Absolute Power (1997),3.37007874015748,127.0
16,"Abyss, The (1989)",3.589403973509934,151.0
17,Ace Ventura: Pet Detective (1994),3.0485436893203883,103.0
18,Ace Ventura: When Nature Calls (1995),2.675675675675676,37.0
19,Across the Sea of Time (1995),2.75,4.0
20,Addams Family Values (1993),2.8160919540229883,87.0
21,Addicted to Love (1997),3.1666666666666665,54.0
22,"Addiction, The (1995)",2.1818181818181817,11.0
23,"Adventures of Pinocchio, The (1996)",3.051282051282051,39.0
24,"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947,111.0
25,"Adventures of Robin Hood, The (1938)",3.791044776119403,67.0
26,"Affair to Remember, An (1957)",4.1923076923076925,26.0
27,"African Queen, The (1951)",4.184210526315789,152.0
28,Afterglow (1997),3.111111111111111,18.0
29,"Age of Innocence, The (1993)",3.3846153846153846,65.0
30,Aiqing wansui (1994),5.0,1.0
31,Air Bud (1997),2.558139534883721,43.0
32,Air Force One (1997),3.6310904872389793,431.0
33,"Air Up There, The (1994)",2.8125,16.0
34,Airheads (1994),2.34375,32.0
35,Akira (1988),3.38,50.0
36,Aladdin (1992),3.8127853881278537,219.0
37,Aladdin and the King of Thieves (1996),2.8461538461538463,26.0
38,Alaska (1996),2.6923076923076925,13.0
39,Albino Alligator (1996),2.5,6.0
40,Alice in Wonderland (1951),3.6666666666666665,81.0
41,Alien (1979),4.034364261168385,291.0
42,Alien 3 (1992),2.83,100.0
43,Alien: Resurrection (1997),3.096774193548387,124.0
44,Aliens (1986),3.9471830985915495,284.0
45,All About Eve (1950),4.045454545454546,66.0
46,All Dogs Go to Heaven 2 (1996),1.8666666666666667,15.0
47,All Over Me (1997),3.0,3.0
48,All Things Fair (1996),3.0,1.0
49,Alphaville (1965),3.3333333333333335,12.0
50,Amadeus (1984),4.163043478260869,276.0
51,Amateur (1994),3.1666666666666665,18.0
52,"Amazing Panda Adventure, The (1995)",2.8,10.0
53,American Buffalo (1996),2.6363636363636362,11.0
54,American Dream (1990),2.5,2.0
55,"American President, The (1995)",3.6280487804878048,164.0
56,American Strays (1996),2.0,2.0
57,"American Werewolf in London, An (1981)",3.5353535353535355,99.0
58,"American in Paris, An (1951)",3.7,50.0
59,Amistad (1997),3.8548387096774195,124.0
60,Amityville 1992: It's About Time (1992),1.0,5.0
61,Amityville 3-D (1983),1.1666666666666667,6.0
62,"Amityville Curse, The (1990)",1.25,4.0
63,"Amityville Horror, The (1979)",2.5660377358490565,53.0
64,Amityville II: The Possession (1982),1.6428571428571428,14.0
65,Amityville: A New Generation (1993),1.0,5.0
66,Amityville: Dollhouse (1996),1.0,3.0
67,Amos & Andrew (1993),2.6842105263157894,19.0
68,An Unforgettable Summer (1994),2.5,4.0
69,Anaconda (1997),2.289473684210526,38.0
70,Anastasia (1997),3.4242424242424243,66.0
71,Andre (1994),3.111111111111111,18.0
72,Angel Baby (1995),3.75,4.0
73,Angel and the Badman (1947),3.0,6.0
74,Angel on My Shoulder (1946),2.0,1.0
75,Angela (1995),3.0,1.0
76,Angels and Insects (1995),3.4166666666666665,72.0
77,Angels in the Outfield (1994),2.923076923076923,39.0
78,Angus (1995),2.642857142857143,14.0
79,Anna (1996),4.5,2.0
80,Anna Karenina (1997),3.090909090909091,33.0
81,Anne Frank Remembered (1995),3.857142857142857,21.0
82,Annie Hall (1977),3.911111111111111,180.0
83,Another Stakeout (1993),2.5,28.0
84,Antonia's Line (1995),3.9565217391304346,69.0
85,Aparajito (1956),3.5714285714285716,7.0
86,"Apartment, The (1960)",3.9365079365079363,63.0
87,Apocalypse Now (1979),4.04524886877828,221.0
88,Apollo 13 (1995),3.931159420289855,276.0
89,"Apostle, The (1997)",3.6545454545454548,55.0
90,"Apple Dumpling Gang, The (1975)",2.84,25.0
91,April Fool's Day (1986),2.6666666666666665,15.0
92,Apt Pupil (1998),4.1,160.0
93,"Aristocats, The (1970)",3.1296296296296298,54.0
94,Army of Darkness (1993),3.4310344827586206,116.0
95,Around the World in 80 Days (1956),3.6610169491525424,59.0
96,"Arrival, The (1996)",3.036144578313253,83.0
97,Arsenic and Old Lace (1944),4.078260869565217,115.0
98,As Good As It Gets (1997),4.196428571428571,112.0
99,Assassins (1995),2.871794871794872,39.0
100,"Assignment, The (1997)",3.5,18.0
101,"Associate, The (1996)",3.2439024390243905,41.0
102,Audrey Rose (1977),2.1666666666666665,12.0
103,August (1996),1.0,1.0
104,Austin Powers: International Man of Mystery (1997),3.246153846153846,130.0
105,"Awfully Big Adventure, An (1995)",2.375,8.0
106,Ayn Rand: A Sense of Life (1997),3.142857142857143,7.0
107,B*A*P*S (1997),1.6666666666666667,3.0
108,B. Monkey (1998),3.0,1.0
109,Babe (1995),3.9954337899543377,219.0
110,"Baby-Sitters Club, The (1995)",2.5,10.0
111,Babyfever (1994),1.0,2.0
112,"Babysitter, The (1995)",2.3333333333333335,3.0
113,Back to the Future (1985),3.834285714285714,350.0
114,Backbeat (1993),3.473684210526316,19.0
115,Bad Boys (1995),3.1052631578947367,57.0
116,Bad Company (1995),2.2222222222222223,9.0
117,Bad Girls (1994),1.8333333333333333,6.0
118,Bad Moon (1996),2.6666666666666665,6.0
119,Bad Taste (1987),3.375,16.0
120,"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75,4.0
121,Balto (1995),3.0,16.0
122,Bananas (1971),3.7017543859649122,57.0
123,"Band Wagon, The (1953)",3.6666666666666665,9.0
124,Barb Wire (1996),1.9333333333333333,30.0
125,Barbarella (1968),2.5714285714285716,28.0
126,Barcelona (1994),3.018867924528302,53.0
127,Basic Instinct (1992),3.227722772277228,101.0
128,"Basketball Diaries, The (1995)",3.425,40.0
129,Basquiat (1996),3.25,44.0
130,Bastard Out of Carolina (1996),2.875,16.0
131,Batman & Robin (1997),2.4516129032258065,62.0
132,Batman (1989),3.427860696517413,201.0
133,Batman Forever (1995),2.6666666666666665,114.0
134,Batman Returns (1992),2.683098591549296,142.0
135,Baton Rouge (1988),1.0,1.0
136,Bean (1997),2.659340659340659,91.0
137,"Beans of Egypt, Maine, The (1994)",3.5,2.0
138,Beat the Devil (1954),3.7142857142857144,7.0
139,"Beautician and the Beast, The (1997)",2.313953488372093,86.0
140,Beautiful Girls (1996),3.391304347826087,115.0
141,Beautiful Thing (1996),3.9655172413793105,29.0
142,Beauty and the Beast (1991),3.792079207920792,202.0
143,Beavis and Butt-head Do America (1996),2.7884615384615383,156.0
144,Bed of Roses (1996),3.2333333333333334,60.0
145,Bedknobs and Broomsticks (1971),3.0701754385964914,57.0
146,Before Sunrise (1995),3.4081632653061225,49.0
147,Before and After (1996),2.8461538461538463,26.0
148,Before the Rain (Pred dozhdot) (1994),3.8,10.0
149,Being Human (1993),1.75,4.0
150,Being There (1979),3.9051724137931036,116.0
151,"Believers, The (1987)",2.25,16.0
152,Belle de jour (1967),3.945945945945946,37.0
153,Ben-Hur (1959),3.8306451612903225,124.0
