,'Til There Was You (1997),2.3333333333333335
0,1-900 (1994),2.6
1,101 Dalmatians (1996),2.9082568807339446
2,12 Angry Men (1957),4.343999999999999
3,187 (1997),3.024390243902439
4,2 Days in the Valley (1996),3.2258064516129035
5,"20,000 Leagues Under the Sea (1954)",3.5
6,2001: A Space Odyssey (1968),3.9691119691119687
7,3 Ninjas: High Noon At Mega Mountain (1998),1.0
8,"39 Steps, The (1935)",4.050847457627119
9,8 1/2 (1963),3.8157894736842106
10,8 Heads in a Duffel Bag (1997),3.25
11,8 Seconds (1994),3.75
12,A Chef in Love (1996),4.125
13,Above the Rim (1994),3.0
14,Absolute Power (1997),3.37007874015748
15,"Abyss, The (1989)",3.5894039735099335
16,Ace Ventura: Pet Detective (1994),3.0485436893203883
17,Ace Ventura: When Nature Calls (1995),2.675675675675676
18,Across the Sea of Time (1995),2.75
19,Addams Family Values (1993),2.8160919540229883
20,Addicted to Love (1997),3.1666666666666665
21,"Addiction, The (1995)",2.1818181818181817
22,"Adventures of Pinocchio, The (1996)",3.051282051282051
23,"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947
24,"Adventures of Robin Hood, The (1938)",3.7910447761194033
25,"Affair to Remember, An (1957)",4.1923076923076925
26,"African Queen, The (1951)",4.1842105263157885
27,Afterglow (1997),3.111111111111111
28,"Age of Innocence, The (1993)",3.3846153846153846
29,Aiqing wansui (1994),5.0
30,Air Bud (1997),2.5581395348837206
31,Air Force One (1997),3.6310904872389793
32,"Air Up There, The (1994)",2.8125
33,Airheads (1994),2.34375
34,Akira (1988),3.38
35,Aladdin (1992),3.8127853881278537
36,Aladdin and the King of Thieves (1996),2.8461538461538463
37,Alaska (1996),2.6923076923076925
38,Albino Alligator (1996),2.5
39,Alice in Wonderland (1951),3.6666666666666665
40,Alien (1979),4.034364261168385
41,Alien 3 (1992),2.83
42,Alien: Resurrection (1997),3.0967741935483866
43,Aliens (1986),3.9471830985915495
44,All About Eve (1950),4.045454545454546
45,All Dogs Go to Heaven 2 (1996),1.8666666666666667
46,All Over Me (1997),3.0
47,All Things Fair (1996),3.0
48,Alphaville (1965),3.333333333333333
49,Amadeus (1984),4.163043478260869
50,Amateur (1994),3.1666666666666665
51,"Amazing Panda Adventure, The (1995)",2.8
52,American Buffalo (1996),2.636363636363636
53,American Dream (1990),2.5
54,"American President, The (1995)",3.6280487804878048
55,American Strays (1996),2.0
56,"American Werewolf in London, An (1981)",3.5353535353535355
57,"American in Paris, An (1951)",3.7
58,Amistad (1997),3.85483870967742
59,Amityville 1992: It's About Time (1992),1.0
60,Amityville 3-D (1983),1.1666666666666667
61,"Amityville Curse, The (1990)",1.25
62,"Amityville Horror, The (1979)",2.5660377358490565
63,Amityville II: The Possession (1982),1.6428571428571428
64,Amityville: A New Generation (1993),1.0
65,Amityville: Dollhouse (1996),1.0
66,Amos & Andrew (1993),2.6842105263157894
67,An Unforgettable Summer (1994),2.5
68,Anaconda (1997),2.2894736842105257
69,Anastasia (1997),3.4242424242424243
70,Andre (1994),3.111111111111111
71,Angel Baby (1995),3.75
72,Angel and the Badman (1947),3.0
73,Angel on My Shoulder (1946),2.0
74,Angela (1995),3.0
75,Angels and Insects (1995),3.4166666666666665
76,Angels in the Outfield (1994),2.9230769230769234
77,Angus (1995),2.642857142857143
78,Anna (1996),4.5
79,Anna Karenina (1997),3.0909090909090913
80,Anne Frank Remembered (1995),3.8571428571428568
81,Annie Hall (1977),3.911111111111111
82,Another Stakeout (1993),2.5
83,Antonia's Line (1995),3.9565217391304346
84,Aparajito (1956),3.571428571428572
85,"Apartment, The (1960)",3.936507936507936
86,Apocalypse Now (1979),4.04524886877828
87,Apollo 13 (1995),3.931159420289855
88,"Apostle, The (1997)",3.654545454545455
89,"Apple Dumpling Gang, The (1975)",2.84
90,April Fool's Day (1986),2.6666666666666665
91,Apt Pupil (1998),4.1
92,"Aristocats, The (1970)",3.1296296296296298
93,Army of Darkness (1993),3.431034482758621
94,Around the World in 80 Days (1956),3.6610169491525424
95,"Arrival, The (1996)",3.036144578313253
96,Arsenic and Old Lace (1944),4.0782608695652165
97,As Good As It Gets (1997),4.196428571428571
98,Assassins (1995),2.8717948717948723
99,"Assignment, The (1997)",3.5
100,"Associate, The (1996)",3.2439024390243905
101,Audrey Rose (1977),2.1666666666666665
102,August (1996),1.0
103,Austin Powers: International Man of Mystery (1997),3.246153846153846
104,"Awfully Big Adventure, An (1995)",2.375
105,Ayn Rand: A Sense of Life (1997),3.1428571428571432
106,B*A*P*S (1997),1.6666666666666667
107,B. Monkey (1998),3.0
108,Babe (1995),3.9954337899543377
109,"Baby-Sitters Club, The (1995)",2.5
110,Babyfever (1994),1.0
111,"Babysitter, The (1995)",2.333333333333333
112,Back to the Future (1985),3.834285714285714
113,Backbeat (1993),3.4736842105263164
114,Bad Boys (1995),3.1052631578947367
115,Bad Company (1995),2.2222222222222223
116,Bad Girls (1994),1.8333333333333333
117,Bad Moon (1996),2.6666666666666665
118,Bad Taste (1987),3.375
119,"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75
120,Balto (1995),3.0
121,Bananas (1971),3.701754385964912
122,"Band Wagon, The (1953)",3.6666666666666665
123,Barb Wire (1996),1.9333333333333331
124,Barbarella (1968),2.571428571428572
125,Barcelona (1994),3.018867924528302
126,Basic Instinct (1992),3.2277227722772284
127,"Basketball Diaries, The (1995)",3.425
128,Basquiat (1996),3.25
129,Bastard Out of Carolina (1996),2.875
130,Batman & Robin (1997),2.4516129032258065
131,Batman (1989),3.4278606965174134
132,Batman Forever (1995),2.6666666666666665
133,Batman Returns (1992),2.683098591549296
134,Baton Rouge (1988),1.0
135,Bean (1997),2.659340659340659
136,"Beans of Egypt, Maine, The (1994)",3.5
137,Beat the Devil (1954),3.7142857142857135
138,"Beautician and the Beast, The (1997)",2.313953488372093
139,Beautiful Girls (1996),3.391304347826087
140,Beautiful Thing (1996),3.9655172413793114
141,Beauty and the Beast (1991),3.792079207920792
142,Beavis and Butt-head Do America (1996),2.7884615384615383
143,Bed of Roses (1996),3.2333333333333334
144,Bedknobs and Broomsticks (1971),3.0701754385964914
145,Before Sunrise (1995),3.4081632653061225
146,Before and After (1996),2.8461538461538463
147,Before the Rain (Pred dozhdot) (1994),3.8
148,Being Human (1993),1.75
149,Being There (1979),3.905172413793104
150,"Believers, The (1987)",2.25
151,Belle de jour (1967),3.9459459459459465
152,Ben-Hur (1959),3.8306451612903225
