,title,count,mean,std,min,25%,50%,75%,max
0,'Til There Was You (1997),9.0,2.333333333333333,1.0,1.0,2.0,2.0,3.0,4.0
1,1-900 (1994),5.0,2.6,1.5165750888103102,1.0,1.0,3.0,4.0,4.0
2,101 Dalmatians (1996),109.0,2.9082568807339446,1.076183968195629,1.0,2.0,3.0,4.0,5.0
3,12 Angry Men (1957),125.0,4.343999999999999,0.7195876955680263,2.0,4.0,4.0,5.0,5.0
4,187 (1997),41.0,3.024390243902439,1.1723439102509294,1.0,2.0,3.0,4.0,5.0
5,2 Days in the Valley (1996),93.0,3.2258064516129035,0.9569997530559918,1.0,3.0,3.0,4.0,5.0
6,"20,000 Leagues Under the Sea (1954)",72.0,3.5,0.7315813472236931,2.0,3.0,4.0,4.0,5.0
7,2001: A Space Odyssey (1968),259.0,3.9691119691119687,1.0263068729633664,1.0,3.0,4.0,5.0,5.0
8,3 Ninjas: High Noon At Mega Mountain (1998),5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
9,"39 Steps, The (1935)",59.0,4.050847457627119,0.8595052468909541,2.0,4.0,4.0,5.0,5.0
10,8 1/2 (1963),38.0,3.8157894736842106,1.1821936357122866,1.0,3.0,4.0,5.0,5.0
11,8 Heads in a Duffel Bag (1997),4.0,3.25,1.5,1.0,3.25,4.0,4.0,4.0
12,8 Seconds (1994),4.0,3.75,1.2583057392117916,2.0,3.5,4.0,4.25,5.0
13,A Chef in Love (1996),8.0,4.125,0.8345229603962802,3.0,3.75,4.0,5.0,5.0
14,Above the Rim (1994),5.0,3.0,0.7071067811865476,2.0,3.0,3.0,3.0,4.0
15,Absolute Power (1997),127.0,3.37007874015748,0.9495458363544554,1.0,3.0,3.0,4.0,5.0
16,"Abyss, The (1989)",151.0,3.5894039735099335,0.9112008426891622,1.0,3.0,4.0,4.0,5.0
17,Ace Ventura: Pet Detective (1994),103.0,3.0485436893203883,1.215735400590524,1.0,2.0,3.0,4.0,5.0
18,Ace Ventura: When Nature Calls (1995),37.0,2.675675675675676,1.1068989227681203,1.0,2.0,3.0,3.0,5.0
19,Across the Sea of Time (1995),4.0,2.75,1.2583057392117916,1.0,2.5,3.0,3.25,4.0
20,Addams Family Values (1993),87.0,2.8160919540229883,0.9465818019195212,1.0,2.0,3.0,3.0,5.0
21,Addicted to Love (1997),54.0,3.1666666666666665,1.004705908345398,1.0,3.0,3.0,4.0,5.0
22,"Addiction, The (1995)",11.0,2.1818181818181817,1.3280197150781925,1.0,1.0,2.0,3.5,4.0
23,"Adventures of Pinocchio, The (1996)",39.0,3.051282051282051,1.1459015744616017,1.0,2.0,3.0,4.0,5.0
24,"Adventures of Priscilla, Queen of the Desert, The (1994)",111.0,3.5945945945945947,1.0302548526578563,1.0,3.0,4.0,4.0,5.0
25,"Adventures of Robin Hood, The (1938)",67.0,3.7910447761194033,0.8445424336332341,2.0,3.0,4.0,4.0,5.0
26,"Affair to Remember, An (1957)",26.0,4.1923076923076925,0.8952868040680938,2.0,4.0,4.0,5.0,5.0
